XCoord,YCoord,NUMBER,BLDGABBR,BLDGNAME
1081919.11592429,3111493.95147050,1507,BICH,Biochemistry/Biophysics Building
1083102.07367127,3111473.81753477,0634,PRES,One Circle Drive
1082097.42336294,3111487.42227801,1501,KLCT,Kleberg Center
1081604.39171445,3111450.92814270,1011,NULL,Horticulture Shop and Garage
1079536.45305627,3111454.16113907,1149,NULL,Billy Bryant Barn
1081615.12150000,3111434.61450000,0798,NULL,Horticulture Implement Shed - B (Demolished 2017)
1081587.16707763,3111431.92151153,0799,NULL,Horticulture Shop
1079584.68771195,3111433.03210941,1150,NULL,Parsons Mounted Cavalry Tack Rm [DEMOLISHED 2016]
1081538.39553100,3111436.63247620,0510,NULL,Adriance Lab
1081628.74389337,3111428.62560463,1180,NULL,Floriculture Farm Storage Bldg
1081607.18900000,3111398.54500000,0797,NULL,Horticulture Implement Shed - A
1079611.82917266,3111399.74715528,1185,NULL,Parsons Cav Caretaker Facility
1081767.22306184,3111475.44872356,1510,WCBA,Wehner Building
1081474.78026899,3111394.36664066,1520,SPHC,School of Public Health - Classroom Bldg
1081421.35116764,3111389.39872007,1519,SPHB,School of Public Health - Lab Bldg
1082010.74538961,3111398.68166800,1505,MSTC,Rosenthal Meat Science & Technology Center
1081429.67115532,3111339.23585447,1518,SPHA,School of Public Health - Admin Bldg
1081820.90646224,3111325.02233254,1506,HFSB,Horticulture/Forest Science Building
1082361.38355707,3111305.54385330, ,NULL,NULL
1081212.07052560,3111329.02061273,1187,LFB,W.P. Luse Foundation Building
1081858.11203879,3111286.75395399,1176,NULL,Hort/FS Greenhouse
1081842.96233630,3111286.17824314,1177,NULL,Hort/FS Greenhouse
1081820.90332369,3111285.83426761,1178,NULL,Hort/FS Greenhouse
1081806.07673260,3111284.93408844,1179,NULL,Forest Science Greenhouse
1082387.84052504,3111258.53042726,1559,WCG,West Campus Parking Garage
1076029.21762673,3105699.00023788,4002,NULL,Beef Cattle Center Headquarters
